asset,indicators,strategy,return_pct,num_trades,win_rate,wins,losses
SOL/USD,RSI Only,grid,8.59227499444421,74,68.91891891891892,51,23
SOL/USD,RSI Only,mean_reversion,9.998838802088676,59,74.57627118644068,44,15
SOL/USD,RSI Only,momentum,4.2914422577547615,89,67.41573033707866,60,29
SOL/USD,RSI + BB,grid,5.2039165522234265,49,69.38775510204081,34,15
SOL/USD,RSI + BB,mean_reversion,4.333206061549663,35,65.71428571428571,23,12
SOL/USD,RSI + BB,momentum,7.034862696237837,106,69.81132075471697,74,32
SOL/USD,RSI + EMA,grid,6.093033590670984,71,67.6056338028169,48,23
SOL/USD,RSI + EMA,mean_reversion,10.187075769547027,59,74.57627118644068,44,15
SOL/USD,RSI + EMA,momentum,1.0385820039824012,908,50.991189427312776,463,445
SOL/USD,RSI + MACD,grid,8.59227499444421,74,68.91891891891892,51,23
SOL/USD,RSI + MACD,mean_reversion,10.704024299006415,58,74.13793103448276,43,15
SOL/USD,RSI + MACD,momentum,7.07925594244025,971,47.27085478887745,459,512
SOL/USD,EMA 9/20,grid,3.697753060570631,34,44.11764705882353,15,19
SOL/USD,EMA 9/20,mean_reversion,13.911274136371436,23,56.52173913043478,13,10
SOL/USD,EMA 9/20,momentum,0.8269547647452669,115,27.82608695652174,32,83
SOL/USD,Full Suite,grid,5.2039165522234265,49,69.38775510204081,34,15
SOL/USD,Full Suite,mean_reversion,4.333206061549663,35,65.71428571428571,23,12
SOL/USD,Full Suite,momentum,-2.5397664659458314,1465,47.918088737201366,702,763
ATOM/USD,RSI Only,grid,-2.5211586266452968,4,25.0,1,3
ATOM/USD,RSI Only,mean_reversion,-2.6551779160682942,2,50.0,1,1
ATOM/USD,RSI Only,momentum,-0.10662658190176444,5,60.0,3,2
ATOM/USD,RSI + BB,grid,-2.0992769854389395,2,0.0,0,2
ATOM/USD,RSI + BB,mean_reversion,-2.3366689538616017,1,0.0,0,1
ATOM/USD,RSI + BB,momentum,-0.6819613927921977,6,66.66666666666666,4,2
ATOM/USD,RSI + EMA,grid,-2.5211586266452968,4,25.0,1,3
ATOM/USD,RSI + EMA,mean_reversion,-2.6551779160682942,2,50.0,1,1
ATOM/USD,RSI + EMA,momentum,0.5792455994198462,53,41.509433962264154,22,31
ATOM/USD,RSI + MACD,grid,-2.5211586266452968,4,25.0,1,3
ATOM/USD,RSI + MACD,mean_reversion,-2.6551779160682942,2,50.0,1,1
ATOM/USD,RSI + MACD,momentum,0.1478761386101155,42,40.476190476190474,17,25
ATOM/USD,EMA 9/20,grid,-1.6234227104120806,4,25.0,1,3
ATOM/USD,EMA 9/20,mean_reversion,-1.9045777808465232,1,0.0,0,1
ATOM/USD,EMA 9/20,momentum,0.10383081918512288,4,25.0,1,3
ATOM/USD,Full Suite,grid,-2.0992769854389395,2,0.0,0,2
ATOM/USD,Full Suite,mean_reversion,-2.3366689538616017,1,0.0,0,1
ATOM/USD,Full Suite,momentum,1.8950436580365135,83,49.39759036144578,41,42
UNI/USD,RSI Only,grid,-4.8273910544735825,28,50.0,14,14
UNI/USD,RSI Only,mean_reversion,-4.402438771077026,19,57.89473684210527,11,8
UNI/USD,RSI Only,momentum,-7.479021405122934,25,52.0,13,12
UNI/USD,RSI + BB,grid,-1.8002943386815444,21,52.38095238095239,11,10
UNI/USD,RSI + BB,mean_reversion,-0.48350660927566197,15,66.66666666666666,10,5
UNI/USD,RSI + BB,momentum,-6.729366364692055,27,59.25925925925925,16,11
UNI/USD,RSI + EMA,grid,-4.8273910544735825,28,50.0,14,14
UNI/USD,RSI + EMA,mean_reversion,-4.402438771077026,19,57.89473684210527,11,8
UNI/USD,RSI + EMA,momentum,-6.827492715019696,315,44.761904761904766,141,174
UNI/USD,RSI + MACD,grid,-5.084853545254759,27,48.148148148148145,13,14
UNI/USD,RSI + MACD,mean_reversion,-4.241418792588024,19,57.89473684210527,11,8
UNI/USD,RSI + MACD,momentum,-9.917338484625509,263,39.543726235741445,104,159
UNI/USD,EMA 9/20,grid,-8.396853769212896,19,26.31578947368421,5,14
UNI/USD,EMA 9/20,mean_reversion,-8.608716144751146,9,22.22222222222222,2,7
UNI/USD,EMA 9/20,momentum,-5.426914906171021,31,19.35483870967742,6,25
UNI/USD,Full Suite,grid,-1.8002943386815444,21,52.38095238095239,11,10
UNI/USD,Full Suite,mean_reversion,-0.9171296741589798,14,64.28571428571429,9,5
UNI/USD,Full Suite,momentum,-10.04570336622445,423,43.73522458628842,185,238
XRP/USD,RSI Only,grid,5.618337236725983,85,64.70588235294117,55,30
XRP/USD,RSI Only,mean_reversion,1.794304053213034,57,64.91228070175438,37,20
XRP/USD,RSI Only,momentum,4.797500547154277,87,66.66666666666666,58,29
XRP/USD,RSI + BB,grid,2.1613544106343623,60,65.0,39,21
XRP/USD,RSI + BB,mean_reversion,2.0128209082936452,38,68.42105263157895,26,12
XRP/USD,RSI + BB,momentum,2.395913667380103,102,70.58823529411765,72,30
XRP/USD,RSI + EMA,grid,6.868404338866663,85,64.70588235294117,55,30
XRP/USD,RSI + EMA,mean_reversion,1.794304053213034,57,64.91228070175438,37,20
XRP/USD,RSI + EMA,momentum,1.2470582159097148,970,50.30927835051546,488,482
XRP/USD,RSI + MACD,grid,3.985689147650123,84,64.28571428571429,54,30
XRP/USD,RSI + MACD,mean_reversion,1.794304053213034,57,64.91228070175438,37,20
XRP/USD,RSI + MACD,momentum,8.444421242851627,992,49.09274193548387,487,505
XRP/USD,EMA 9/20,grid,5.905013477852504,51,47.05882352941176,24,27
XRP/USD,EMA 9/20,mean_reversion,8.564453348292227,33,51.515151515151516,17,16
XRP/USD,EMA 9/20,momentum,9.360259318070803,103,33.00970873786408,34,69
XRP/USD,Full Suite,grid,0.5821443565878213,59,64.40677966101694,38,21
XRP/USD,Full Suite,mean_reversion,2.5228301731292735,38,68.42105263157895,26,12
XRP/USD,Full Suite,momentum,13.521057974321343,1534,50.58670143415907,776,758
DOT/USD,RSI Only,grid,-3.5326970384151086,20,50.0,10,10
DOT/USD,RSI Only,mean_reversion,-1.358184847356597,16,50.0,8,8
DOT/USD,RSI Only,momentum,-2.419490127275344,24,54.166666666666664,13,11
DOT/USD,RSI + BB,grid,1.5583353784311953,16,62.5,10,6
DOT/USD,RSI + BB,mean_reversion,2.898532154832947,13,53.84615384615385,7,6
DOT/USD,RSI + BB,momentum,0.8541357929630635,27,66.66666666666666,18,9
DOT/USD,RSI + EMA,grid,-2.5691535384122632,20,50.0,10,10
DOT/USD,RSI + EMA,mean_reversion,-1.2497276564246136,16,50.0,8,8
DOT/USD,RSI + EMA,momentum,-5.578986271428368,300,40.33333333333333,121,179
DOT/USD,RSI + MACD,grid,-3.691669231388744,20,50.0,10,10
DOT/USD,RSI + MACD,mean_reversion,-1.2018269119976026,16,50.0,8,8
DOT/USD,RSI + MACD,momentum,-4.4626242650578885,273,38.82783882783883,106,167
DOT/USD,EMA 9/20,grid,0.7970301772703919,17,41.17647058823529,7,10
DOT/USD,EMA 9/20,mean_reversion,-3.075125715407353,7,28.57142857142857,2,5
DOT/USD,EMA 9/20,momentum,-4.499460810008429,33,15.151515151515152,5,28
DOT/USD,Full Suite,grid,1.1124499084665445,16,62.5,10,6
DOT/USD,Full Suite,mean_reversion,2.898532154832947,13,53.84615384615385,7,6
DOT/USD,Full Suite,momentum,-3.238418093738403,448,41.964285714285715,188,260
AVAX/USD,RSI Only,grid,-1.0985347053839178,4,50.0,2,2
AVAX/USD,RSI Only,mean_reversion,0.15860428231562765,2,50.0,1,1
AVAX/USD,RSI Only,momentum,-1.77596782883744,3,33.33333333333333,1,2
AVAX/USD,RSI + BB,grid,-2.1919651486090856,2,0.0,0,2
AVAX/USD,RSI + BB,mean_reversion,-0.3172085646312439,2,0.0,0,2
AVAX/USD,RSI + BB,momentum,-2.2425903094605473,3,33.33333333333333,1,2
AVAX/USD,RSI + EMA,grid,-1.0985347053839178,4,50.0,2,2
AVAX/USD,RSI + EMA,mean_reversion,0.15860428231562765,2,50.0,1,1
AVAX/USD,RSI + EMA,momentum,3.487478627870359,60,38.333333333333336,23,37
AVAX/USD,RSI + MACD,grid,-0.9430292568074718,4,50.0,2,2
AVAX/USD,RSI + MACD,mean_reversion,0.15860428231562765,2,50.0,1,1
AVAX/USD,RSI + MACD,momentum,0.22343647749877393,58,34.48275862068966,20,38
AVAX/USD,EMA 9/20,grid,-0.06413068060809336,2,50.0,1,1
AVAX/USD,EMA 9/20,mean_reversion,0.006505044282573634,2,50.0,1,1
AVAX/USD,EMA 9/20,momentum,3.504484006712437,4,75.0,3,1
AVAX/USD,Full Suite,grid,-2.1919651486090856,2,0.0,0,2
AVAX/USD,Full Suite,mean_reversion,-0.3172085646312439,2,0.0,0,2
AVAX/USD,Full Suite,momentum,1.7862089919746835,98,37.755102040816325,37,61
ADA/USD,RSI Only,grid,0.5650766143472993,85,57.647058823529406,49,36
ADA/USD,RSI Only,mean_reversion,-0.5963139257273041,60,63.33333333333333,38,22
ADA/USD,RSI Only,momentum,2.3203792632155906,98,62.244897959183675,61,37
ADA/USD,RSI + BB,grid,5.907008766454783,60,60.0,36,24
ADA/USD,RSI + BB,mean_reversion,2.850886537618976,41,63.41463414634146,26,15
ADA/USD,RSI + BB,momentum,-2.636552195993693,115,62.60869565217392,72,43
ADA/USD,RSI + EMA,grid,1.2067979151463986,84,58.333333333333336,49,35
ADA/USD,RSI + EMA,mean_reversion,0.023193809739575497,60,63.33333333333333,38,22
ADA/USD,RSI + EMA,momentum,6.012262760099861,957,49.00731452455591,469,488
ADA/USD,RSI + MACD,grid,1.137243129898968,85,58.82352941176471,50,35
ADA/USD,RSI + MACD,mean_reversion,-0.5963139257273041,60,63.33333333333333,38,22
ADA/USD,RSI + MACD,momentum,-2.266479331793198,948,47.89029535864979,454,494
ADA/USD,EMA 9/20,grid,5.694897236174211,66,45.45454545454545,30,36
ADA/USD,EMA 9/20,mean_reversion,6.980859583793926,38,47.368421052631575,18,20
ADA/USD,EMA 9/20,momentum,7.161113305802087,105,25.71428571428571,27,78
ADA/USD,Full Suite,grid,6.068437817847962,60,60.0,36,24
ADA/USD,Full Suite,mean_reversion,1.5646199330533703,40,62.5,25,15
ADA/USD,Full Suite,momentum,11.408938323883921,1498,48.264352469959945,723,775
LINK/USD,RSI Only,grid,7.8222424556825905,76,67.10526315789474,51,25
LINK/USD,RSI Only,mean_reversion,10.982176143901393,58,72.41379310344827,42,16
LINK/USD,RSI Only,momentum,6.13150756738537,97,68.04123711340206,66,31
LINK/USD,RSI + BB,grid,4.949470618046507,49,65.3061224489796,32,17
LINK/USD,RSI + BB,mean_reversion,4.706928118153814,35,60.0,21,14
LINK/USD,RSI + BB,momentum,10.553385217119331,116,70.6896551724138,82,34
LINK/USD,RSI + EMA,grid,8.196163610931261,76,67.10526315789474,51,25
LINK/USD,RSI + EMA,mean_reversion,11.367055762156156,58,72.41379310344827,42,16
LINK/USD,RSI + EMA,momentum,-9.75297277010037,961,50.15608740894901,482,479
LINK/USD,RSI + MACD,grid,8.242583588812998,74,68.91891891891892,51,23
LINK/USD,RSI + MACD,mean_reversion,10.982176143901393,58,72.41379310344827,42,16
LINK/USD,RSI + MACD,momentum,-5.40659203504008,1002,48.30339321357285,484,518
LINK/USD,EMA 9/20,grid,7.78010249871752,41,48.78048780487805,20,21
LINK/USD,EMA 9/20,mean_reversion,11.185450651694737,26,53.84615384615385,14,12
LINK/USD,EMA 9/20,momentum,-6.416323780668187,112,22.321428571428573,25,87
LINK/USD,Full Suite,grid,4.949470618046507,49,65.3061224489796,32,17
LINK/USD,Full Suite,mean_reversion,4.706928118153814,35,60.0,21,14
LINK/USD,Full Suite,momentum,1.695790119792207,1469,50.98706603131382,749,720
